,point,crowded_ratio,number_of_people,timestamp,location_group,timezone
4138,POINT (13.9896076 100.6167649),2,96,2020-08-20 09:30:30.651000+00:00,shop,Asia/Bangkok
4139,POINT (13.9902341 100.6164467),2,72,2020-08-20 09:55:17.665000+00:00,shop,Asia/Bangkok
4140,POINT (13.9902402 100.618558),3,126,2020-08-20 10:06:55.532000+00:00,shop,Asia/Bangkok
4141,POINT (13.9919618 100.6181088),2,36,2020-08-20 10:15:34.777000+00:00,shop,Asia/Bangkok
4142,POINT (13.9921679 100.6169773),2,80,2020-08-20 10:23:26.013000+00:00,shop,Asia/Bangkok
4143,POINT (13.9920577 100.6167307),2,90,2020-08-20 10:57:03.532000+00:00,shop,Asia/Bangkok
4144,POINT (13.9919498 100.6174857),2,41,2020-08-20 10:59:46.481000+00:00,shop,Asia/Bangkok
4145,POINT (13.99021 100.6185726),3,130,2020-08-20 11:08:41.506000+00:00,shop,Asia/Bangkok
4146,POINT (13.9895945 100.6166688),3,160,2020-08-20 11:23:16.983000+00:00,shop,Asia/Bangkok
4147,POINT (13.9904641 100.6170624),2,87,2020-08-20 11:50:30.651000+00:00,shop,Asia/Bangkok
4148,POINT (13.9907421 100.6181368),3,140,2020-08-20 12:01:42.047000+00:00,shop,Asia/Bangkok
4149,POINT (13.9917817 100.61787),3,11,2020-08-20 12:04:37.796000+00:00,shop,Asia/Bangkok
4150,POINT (13.9920714 100.6170825),3,110,2020-08-20 12:07:05.701000+00:00,shop,Asia/Bangkok
4151,POINT (13.9920704 100.6170849),2,90,2020-08-20 12:48:17.554000+00:00,shop,Asia/Bangkok
4152,POINT (13.9918181 100.6178234),2,6,2020-08-20 12:50:22.038000+00:00,shop,Asia/Bangkok
4153,POINT (13.9903988 100.6184719),2,110,2020-08-20 12:54:12.067000+00:00,shop,Asia/Bangkok
4154,POINT (14.0741608 100.603069),2,8,2020-08-20 12:57:39.977000+00:00,shop,Asia/Bangkok
4155,POINT (13.990034 100.6166669),2,60,2020-08-20 13:00:35.457000+00:00,shop,Asia/Bangkok
4156,POINT (14.0711694 100.6018941),2,50,2020-08-20 13:08:39.106000+00:00,office,Asia/Bangkok
4158,POINT (13.989595 100.6167478),2,32,2020-08-20 13:27:53.727000+00:00,shop,Asia/Bangkok
4160,POINT (13.9904006 100.6184685),2,40,2020-08-20 13:34:40.359000+00:00,shop,Asia/Bangkok
4162,POINT (13.991728 100.6172631),2,57,2020-08-20 13:37:58.472000+00:00,shop,Asia/Bangkok
